Quantify Compound Summary Report ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Printed Tue Aug 07 11:35:48 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 1:  PFBA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Standard Concentration,RT,Area,IS Area,IS RT,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
22,JR_080218_79,20,Standard,20,,,4850.332,,,,,,,
23,JR_080218_80,50,Standard,50,,,4513.178,,,,,,,
24,JR_080218_81,100,Standard,100,,,4808.189,,,,,,,
,,,,,,,,,,,,,,
Compound 13:  PFHxDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,0,,,5103.579,,,,,,,
2,JR_080218_07,50,Standard,0,,,5408.954,,,,,,,
3,JR_080218_08,100,Standard,0,,,5364.299,,,,,,,
4,JR_080218_09,250,Standard,0,,,5028.69,,,,,,,
5,JR_080218_10,500,Standard,0,,,5427.392,,,,,,,
6,JR_080218_11,be,Recovery,0,,,6069.282,,,,,,,
7,JR_080218_12,2000,Standard,0,,,5008.919,,,,,,,
8,JR_080218_13,10000,Standard,0,,,5095.7,,,,,,,
9,JR_080218_62,NG pblnk,,0,,,1586.703,,,,,,,
10,JR_080218_63,NG tris n=1,,0,,,1022.214,,,,,,,
11,JR_080218_64,NG tris n=2,,0,,,1100.857,,,,,,,
12,JR_080218_65,NG tris n=3,,0,,,190.376,,,,,,,
13,JR_080218_66,NG tris n=4,,0,,,129.298,,,,,,,
14,JR_080218_67,NG EDTA,,0,,,799.906,,,,,,,
15,JR_080218_68,NG PBS,,0,,,968.681,,,,,,,
16,JR_080218_69,NG ???,,0,,,1040.718,,,,,,,
17,JR_080218_70,sblnk,,0,,,4659.394,,,,,,,
18,JR_080218_71,50,,0,,,6234.62,,,,,,,
19,JR_080218_72,100,,0,,,4741.825,,,,,,,
20,JR_080218_77,sblnk,,0,,,5520.436,,,,,,,
21,JR_080218_78,20,Standard,0,,,5902.835,,,,,,,
22,JR_080218_79,20,Standard,0,,,4850.332,,,,,,,
23,JR_080218_80,50,Standard,0,,,4513.178,,,,,,,
24,JR_080218_81,100,Standard,0,,,4808.189,,,,,,,
,,,,,,,,,,,,,,
Compound 14:  PFHpDA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,5103.579,,,,,,,
2,JR_080218_07,50,Standard,50,,,5408.954,,,,,,,
3,JR_080218_08,100,Standard,100,,,5364.299,,,,,,,
4,JR_080218_09,250,Standard,250,,,5028.69,,,,,,,
5,JR_080218_10,500,Standard,500,,,5427.392,,,,,,,
6,JR_080218_11,be,Recovery,500,,,6069.282,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,5008.919,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,5095.7,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1586.703,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1022.214,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,1100.857,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,190.376,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,129.298,,,,,,,
14,JR_080218_67,NG EDTA,,,,,799.906,,,,,,,
15,JR_080218_68,NG PBS,,,,,968.681,,,,,,,
16,JR_080218_69,NG ???,,,,,1040.718,,,,,,,
17,JR_080218_70,sblnk,,,,,4659.394,,,,,,,
18,JR_080218_71,50,,,,,6234.62,,,,,,,
19,JR_080218_72,100,,,,,4741.825,,,,,,,
20,JR_080218_77,sblnk,,,,,5520.436,,,,,,,
21,JR_080218_78,20,Standard,20,,,5902.835,,,,,,,
22,JR_080218_79,20,Standard,20,,,4850.332,,,,,,,
23,JR_080218_80,50,Standard,50,28.49,13.538,4513.178,,0.003,bbI,,-100,0,6.155
24,JR_080218_81,100,Standard,100,,,4808.189,,,,,,,
,,,,,,,,,,,,,,
Compound 15:  PFOcDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,5103.579,,,,,,,
2,JR_080218_07,50,Standard,50,,,5408.954,,,,,,,
3,JR_080218_08,100,Standard,100,,,5364.299,,,,,,,
4,JR_080218_09,250,Standard,250,,,5028.69,,,,,,,
5,JR_080218_10,500,Standard,500,,,5427.392,,,,,,,
6,JR_080218_11,be,Recovery,500,,,6069.282,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,5008.919,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,5095.7,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1586.703,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1022.214,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,1100.857,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,190.376,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,129.298,,,,,,,
14,JR_080218_67,NG EDTA,,,,,799.906,,,,,,,
15,JR_080218_68,NG PBS,,,,,968.681,,,,,,,
16,JR_080218_69,NG ???,,,,,1040.718,,,,,,,
17,JR_080218_70,sblnk,,,,,4659.394,,,,,,,
18,JR_080218_71,50,,,,,6234.62,,,,,,,
19,JR_080218_72,100,,,,,4741.825,,,,,,,
20,JR_080218_77,sblnk,,,,,5520.436,,,,,,,
21,JR_080218_78,20,Standard,20,,,5902.835,,,,,,,
22,JR_080218_79,20,Standard,20,,,4850.332,,,,,,,
23,JR_080218_80,50,Standard,50,,,4513.178,,,,,,,
24,JR_080218_81,100,Standard,100,,,4808.189,,,,,,,
,,,,,,,,,,,,,,
Compound 16:  FBEA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,100,,,,,,,,,,
2,JR_080218_07,50,Standard,500,,,,,,,,,,
3,JR_080218_08,100,Standard,2000,,,,,,,,,,
4,JR_080218_09,250,Standard,2500,,,,,,,,,,
5,JR_080218_10,500,Standard,5000,,,,,,,,,,
6,JR_080218_11,be,Recovery,5000,,,23.631,,,,,,,
7,JR_080218_12,2000,Standard,10000,,,323.934,,,,,,,
8,JR_080218_13,10000,Standard,20000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,10.8,16.862,,,,bb,,,,2.399
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,100,,,,,,,,,,
22,JR_080218_79,20,Standard,100,,,,,,,,,,
23,JR_080218_80,50,Standard,500,,,,,,,,,,
24,JR_080218_81,100,Standard,2000,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 17:  FHEA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,100,,,,,,,,,,
2,JR_080218_07,50,Standard,500,,,,,,,,,,
3,JR_080218_08,100,Standard,2000,11.94,11.044,,,,bb,,,,8.807
4,JR_080218_09,250,Standard,2500,,,,,,,,,,
5,JR_080218_10,500,Standard,5000,,,,,,,,,,
6,JR_080218_11,be,Recovery,5000,11.99,11.258,23.631,,0.476,bb,57111.3,1042.2,1142.2,3.261
7,JR_080218_12,2000,Standard,10000,11.99,31.383,323.934,,0.097,bb,11752.4,17.5,117.5,15.115
8,JR_080218_13,10000,Standard,20000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,11.69,20.869,,,,bb,,,,4.969
10,JR_080218_63,NG tris n=1,,,11.89,11.006,,,,bb,,,,1.745
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,13.35,44.528,,,,bb,,,,4.096
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,11.72,31.881,,,,bb,,,,1.582
21,JR_080218_78,20,Standard,100,11.76,14.635,,,,bb,,,,2.642
22,JR_080218_79,20,Standard,100,,,,,,,,,,
23,JR_080218_80,50,Standard,500,,,,,,,,,,
24,JR_080218_81,100,Standard,2000,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 18:  FOEA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,100,,,163.509,,,,,,,
2,JR_080218_07,50,Standard,500,17.88,16.45,234.261,,0.07,bbI,,-100,0,3.552
3,JR_080218_08,100,Standard,2000,,,254.889,,,,,,,
4,JR_080218_09,250,Standard,2500,,,235.152,,,,,,,
5,JR_080218_10,500,Standard,5000,,,,,,,,,,
6,JR_080218_11,be,Recovery,5000,,,,,,,,,,
7,JR_080218_12,2000,Standard,10000,,,209.596,,,,,,,
8,JR_080218_13,10000,Standard,20000,,,159.109,,,,,,,
9,JR_080218_62,NG pblnk,,,16.34,17.417,76.039,,0.229,bb,3018.4,,,2.713
10,JR_080218_63,NG tris n=1,,,,,18.664,,,,,,,
11,JR_080218_64,NG tris n=2,,,16.87,12.713,31.532,,0.403,bb,6919.2,,,5.396
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,48.302,,,,,,,
15,JR_080218_68,NG PBS,,,,,43.35,,,,,,,
16,JR_080218_69,NG ???,,,,,40.976,,,,,,,
17,JR_080218_70,sblnk,,,17.06,15.146,297.146,,0.051,bbI,,,,2.998
18,JR_080218_71,50,,,,,438.344,,,,,,,
19,JR_080218_72,100,,,,,239.164,,,,,,,
20,JR_080218_77,sblnk,,,17.88,14.615,167.964,,0.087,bbI,,,,15.331
21,JR_080218_78,20,Standard,100,17.09,18.235,249.521,,0.073,bbI,,-100,0,1.474
22,JR_080218_79,20,Standard,100,17.78,28.885,232.031,,0.124,bb,675.8,575.8,675.8,9.962
23,JR_080218_80,50,Standard,500,16.4,45.133,276.793,,0.163,bb,1539.9,208,308,4.55
24,JR_080218_81,100,Standard,2000,,,244.601,,,,,,,
,,,,,,,,,,,,,,
Compound 19:  FOSA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,100,,,,,,,,,,
2,JR_080218_07,50,Standard,500,,,,,,,,,,
3,JR_080218_08,100,Standard,2000,,,,,,,,,,
4,JR_080218_09,250,Standard,2500,,,,,,,,,,
5,JR_080218_10,500,Standard,5000,,,,,,,,,,
6,JR_080218_11,be,Recovery,5000,,,,,,,,,,
7,JR_080218_12,2000,Standard,10000,,,,,,,,,,
8,JR_080218_13,10000,Standard,20000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,100,,,,,,,,,,
22,JR_080218_79,20,Standard,100,,,,,,,,,,
23,JR_080218_80,50,Standard,500,,,,,,,,,,
24,JR_080218_81,100,Standard,2000,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 20:  FDEA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,100,,,,,,,,,,
2,JR_080218_07,50,Standard,500,,,,,,,,,,
3,JR_080218_08,100,Standard,2000,,,,,,,,,,
4,JR_080218_09,250,Standard,2500,,,,,,,,,,
5,JR_080218_10,500,Standard,5000,,,,,,,,,,
6,JR_080218_11,be,Recovery,5000,,,,,,,,,,
7,JR_080218_12,2000,Standard,10000,,,,,,,,,,
8,JR_080218_13,10000,Standard,20000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,20.51,21.092,,,,bb,,,,6.6
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,207.476,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,20.81,11.584,,,,bb,,,,3.254
21,JR_080218_78,20,Standard,100,20.69,21.928,,,,bb,,,,0
22,JR_080218_79,20,Standard,100,,,,,,,,,,
23,JR_080218_80,50,Standard,500,20.66,61.47,,,,bb,,,,5.186
24,JR_080218_81,100,Standard,2000,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 21:  FBUEA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,,,,,,,,
2,JR_080218_07,50,Standard,50,8.92,15.395,,,,bb,,,,1.315
3,JR_080218_08,100,Standard,100,,,6299.195,,,,,,,
4,JR_080218_09,250,Standard,250,,,,,,,,,,
5,JR_080218_10,500,Standard,500,,,5710.379,,,,,,,
6,JR_080218_11,be,Recovery,500,,,1918.761,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,5648.463,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,5353.251,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,464.514,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,287.242,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,,,,,,,,,,
22,JR_080218_79,20,Standard,20,,,,,,,,,,
23,JR_080218_80,50,Standard,50,,,,,,,,,,
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 22:  FHUEA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,,,,,,,,
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,,,6299.195,,,,,,,
4,JR_080218_09,250,Standard,250,,,,,,,,,,
5,JR_080218_10,500,Standard,500,11.85,5567.279,5710.379,,0.975,bb,500,0,100,528.762
6,JR_080218_11,be,Recovery,500,,,1918.761,,,,,,,
7,JR_080218_12,2000,Standard,2000,11.88,19319.264,5648.463,,3.42,bb,2000,0,100,1220.592
8,JR_080218_13,10000,Standard,10000,,,5353.251,,,,,,,
9,JR_080218_62,NG pblnk,,,12.73,12.213,,,,bb,,,,2.705
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,464.514,,,,,,,
13,JR_080218_66,NG tris n=4,,,12.48,35.691,287.242,,0.124,bbI,,,,5.425
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,,,,,,,,,,
22,JR_080218_79,20,Standard,20,,,,,,,,,,
23,JR_080218_80,50,Standard,50,,,,,,,,,,
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 23:  FOUEA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,16.33,78.411,163.509,,0.48,bb,30.3,51.6,151.6,0
2,JR_080218_07,50,Standard,50,16.38,19.834,234.261,,0.085,bb,14.9,-70.2,29.8,10.388
3,JR_080218_08,100,Standard,100,16.38,686.203,254.889,,2.692,bb,116.8,16.8,116.8,237.173
4,JR_080218_09,250,Standard,250,16.3,1490.906,235.152,,6.34,bb,259.4,3.8,103.8,397.713
5,JR_080218_10,500,Standard,500,16.63,3599.553,,,,bb,,,,267.951
6,JR_080218_11,be,Recovery,500,,,,,,,,,,
7,JR_080218_12,2000,Standard,2000,16.38,11291.9,209.596,,53.875,bb,2117.9,5.9,105.9,23554.247
8,JR_080218_13,10000,Standard,10000,16.36,42172.66,159.109,,265.055,bb,10374.2,3.7,103.7,678.085
9,JR_080218_62,NG pblnk,,,,,76.039,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,18.664,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,31.532,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,48.302,,,,,,,
15,JR_080218_68,NG PBS,,,,,43.35,,,,,,,
16,JR_080218_69,NG ???,,,,,40.976,,,,,,,
17,JR_080218_70,sblnk,,,,,297.146,,,,,,,
18,JR_080218_71,50,,,16.14,354.291,438.344,,0.808,bb,43.2,,,201.253
19,JR_080218_72,100,,,16.25,516.915,239.164,,2.161,bb,96.1,,,0
20,JR_080218_77,sblnk,,,,,167.964,,,,,,,
21,JR_080218_78,20,Standard,20,16.22,166.977,249.521,,0.669,bb,37.7,88.7,188.7,127.578
22,JR_080218_79,20,Standard,20,16.16,81.727,232.031,,0.352,bb,25.3,26.7,126.7,9.332
23,JR_080218_80,50,Standard,50,16.27,263.799,276.793,,0.953,bb,48.8,-2.3,97.7,44.708
24,JR_080218_81,100,Standard,100,16.41,384.599,244.601,,1.572,bb,73,-27,73,0
,,,,,,,,,,,,,,
Compound 24:  FDUEA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,,,,,,,,
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,,,,,,,,,,
4,JR_080218_09,250,Standard,250,,,,,,,,,,
5,JR_080218_10,500,Standard,500,,,,,,,,,,
6,JR_080218_11,be,Recovery,500,,,,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,207.476,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,,,,,,,,,,
22,JR_080218_79,20,Standard,20,,,,,,,,,,
23,JR_080218_80,50,Standard,50,21.85,57.514,,,,bb,,,,6.004
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 25:  FPrPA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,,,,,,,,
2,JR_080218_07,50,Standard,50,9.05,11.773,,,,bb,,,,3.842
3,JR_080218_08,100,Standard,100,,,,,,,,,,
4,JR_080218_09,250,Standard,250,,,,,,,,,,
5,JR_080218_10,500,Standard,500,,,,,,,,,,
6,JR_080218_11,be,Recovery,500,,,23.631,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,323.934,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,8.77,12.009,,,,bb,,,,15.356
22,JR_080218_79,20,Standard,20,,,,,,,,,,
23,JR_080218_80,50,Standard,50,8.52,10.59,,,,bb,,,,3.498
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 26:  FPePA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,,,,,,,,
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,,,6299.195,,,,,,,
4,JR_080218_09,250,Standard,250,,,,,,,,,,
5,JR_080218_10,500,Standard,500,,,5710.379,,,,,,,
6,JR_080218_11,be,Recovery,500,,,1918.761,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,5648.463,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,5353.251,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,464.514,,,,,,,
13,JR_080218_66,NG tris n=4,,,12.38,14.785,287.242,,0.051,bb,,,,7.139
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,12.61,12.016,,,,bb,,,,3.149
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,12.31,11.006,,,,bb,,,,3.422
21,JR_080218_78,20,Standard,20,,,,,,,,,,
22,JR_080218_79,20,Standard,20,,,,,,,,,,
23,JR_080218_80,50,Standard,50,,,,,,,,,,
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 27:  FHpPA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,16.22,11.324,163.509,,0.069,bb,20.8,3.8,103.8,0
2,JR_080218_07,50,Standard,50,,,234.261,,,,,,,
3,JR_080218_08,100,Standard,100,16.27,298.467,254.889,,1.171,bb,137.2,37.2,137.2,56.598
4,JR_080218_09,250,Standard,250,16.16,465.303,235.152,,1.979,bb,222.5,-11,89,348.691
5,JR_080218_10,500,Standard,500,16.47,1051.235,,,,bb,,,,0
6,JR_080218_11,be,Recovery,500,,,,,,,,,,
7,JR_080218_12,2000,Standard,2000,16.27,3588.109,209.596,,17.119,bb,1822.6,-8.9,91.1,1184.781
8,JR_080218_13,10000,Standard,10000,16.25,16037.211,159.109,,100.794,bb,10665.5,6.7,106.7,4183.329
9,JR_080218_62,NG pblnk,,,,,76.039,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,18.664,,,,,,,
11,JR_080218_64,NG tris n=2,,,16.96,12.634,31.532,,0.401,bb,55.8,,,2.597
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,48.302,,,,,,,
15,JR_080218_68,NG PBS,,,,,43.35,,,,,,,
16,JR_080218_69,NG ???,,,,,40.976,,,,,,,
17,JR_080218_70,sblnk,,,,,297.146,,,,,,,
18,JR_080218_71,50,,,15.97,140.567,438.344,,0.321,bb,47.3,,,276.785
19,JR_080218_72,100,,,16.05,60.339,239.164,,0.252,bb,40.1,,,1.943
20,JR_080218_77,sblnk,,,,,167.964,,,,,,,
21,JR_080218_78,20,Standard,20,16,18.168,249.521,,0.073,bb,21.1,5.6,105.6,3.388
22,JR_080218_79,20,Standard,20,15.94,48.723,232.031,,0.21,bb,35.6,78.1,178.1,7.449
23,JR_080218_80,50,Standard,50,16.14,134.107,276.793,,0.485,bb,64.6,29.3,129.3,20.297
24,JR_080218_81,100,Standard,100,16.33,99.798,244.601,,0.408,bb,56.6,-43.4,56.6,0
,,,,,,,,,,,,,,
Compound 28:  FNPA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,,,,,,,,
